id,section,topic,difficulty,template,hasVisual,visualType,visualDetail,answerIndex,correctChoice,fingerprint
0338112243,math,Algebra,easy,linear_equation_ax_plus_b,no,,,1,5,"math::Algebra::easy::if 3x + 7 = 22, what is x?::3|5|7|9::{""a"":3,""b"":7,""c"":22}"
f221a7f885,math,Algebra,easy,double_x,no,,,2,12,"math::Algebra::easy::what is 2x when x = 6?::8|10|12|14::{""x"":6}"
5541d5da1a,math,Algebra,easy,x_minus_k_equals_c,no,,,1,14,"math::Algebra::easy::solve: x − 4 = 10::6|14|10|4::{""k"":4,""c"":10}"
95e5a59ad4,math,Algebra,easy,y_intercept_line,yes,svg,coordinate_plane,1,−1,"math::Algebra::easy::the graph shows y = 2x − 1. what is the y-intercept?::−2|−1|0|1::{""m"":2,""b"":-1}"
7c3c70a8a1,math,Algebra,medium,manual,no,,,0,−2x+10,math::Algebra::medium::which is equivalent to 2(x+3) − 4(x−1)?::−2x+10|6x+2|−2x+2|2x+10::{}
8762e4d13b,math,Algebra,medium,manual,no,,,1,4,"math::Algebra::medium::if y=2x−1 and y=x+3, what is x?::2|4|5|7::{}"
a32a030342,math,Algebra,medium,manual,no,,,1,5,math::Algebra::medium::solve: 5x − 3 = 2x + 12::3|5|7|9::{}
4948b791c2,math,Algebra,medium,manual,yes,svg,coordinate_plane,1,"(2,3)","math::Algebra::medium::where do the two lines intersect?::(1,2)|(2,3)|(3,4)|(0,1)::{}"
9a4e2e8fad,math,Algebra,hard,manual,no,,,1,17,"math::Algebra::hard::if f(x)=3x²−2x+1, what is f(−2)?::9|17|13|21::{}"
bc969c8ef0,math,Algebra,hard,manual,no,,,1,4,math::Algebra::hard::for what k does kx²−4x+1=0 have exactly one solution?::2|4|8|16::{}
5c3ed0974e,math,Geometry,easy,area_rectangle,yes,svg,rectangle,1,40,"math::Geometry::easy::what is the area of the rectangle shown?::26|40|13|45::{""w"":8,""h"":5}"
6a215e714e,math,Geometry,easy,perimeter_square,no,,,1,24,"math::Geometry::easy::perimeter of a square with side 6?::12|24|36|18::{""s"":6}"
4039312ed1,math,Geometry,medium,pythagorean_hypotenuse,yes,svg,right_triangle,0,5,"math::Geometry::medium::what is the hypotenuse of the triangle shown?::5|6|7|8::{""a"":3,""b"":4}"
7e862c4149,math,Geometry,medium,circumference,no,,,1,37.68,"math::Geometry::medium::radius=6. circumference? (π≈3.14)::18.84|37.68|113.04|28.26::{""r"":6,""pi"":3.14}"
a46ecbad12,math,Geometry,hard,cylinder_volume,yes,svg,cylinder,1,282.6,"math::Geometry::hard::volume of the cylinder shown? (π≈3.14)::94.2|282.6|188.4|314::{""r"":3,""h"":10,""pi"":3.14}"
1ac658f47d,math,Geometry,hard,arc_length,yes,svg,circle_arc,0,12.56,"math::Geometry::hard::central angle 60°, radius 12. arc length? (π≈3.14)::12.56|6.28|18.84|25.12::{""r"":12,""angle"":60,""pi"":3.14}"
dc8d1b4e58,math,Data Analysis,easy,manual,yes,chart,bar,3,April,math::Data Analysis::easy::which month had the highest sales?::january|february|march|april::{}
ec467d28cd,math,Data Analysis,easy,manual,no,,,0,7,"math::Data Analysis::easy::median of {4,7,7,9,13}?::7|8|9|6::{}"
c4ee8f0398,math,Data Analysis,easy,manual,no,,,1,4,"math::Data Analysis::easy::mode of {2,4,4,5,7}?::2|4|5|7::{}"
0ce15334fc,math,Data Analysis,medium,manual,yes,table,,1,84,math::Data Analysis::medium::what is the mean score from the table?::82|84|86|88::{}
38b6de97e0,math,Data Analysis,medium,manual,yes,chart,line,1,Feb–Mar,math::Data Analysis::medium::between which months did temperature rise most?::jan–feb|feb–mar|mar–apr|may–jun::{}
f401cd2954,math,Data Analysis,medium,manual,no,,,2,85,"math::Data Analysis::medium::mean of 80,90,70,100?::82|84|85|90::{}"
07e453d141,math,Data Analysis,hard,scatter_correlation_description,yes,chart,scatter,3,Strong positive correlation,math::Data Analysis::hard::which best describes the scatterplot relationship?::strong negative correlation|no correlation|weak positive correlation|strong positive correlation::{}
f14fb5059c,math,Data Analysis,hard,fraction_from_table_female_math,yes,table,,0,7/15,math::Data Analysis::hard::what fraction of female students prefer math?::7/15|7/16|14/30|7/30::{}
7aa7ded455,math,Data Analysis,hard,r_value_from_description,no,,,2,0.85,math::Data Analysis::hard::strong positive scatterplot. most likely r-value?::−0.9|0.1|0.85|−0.3::{}
49df4c6bd8,math,Advanced Math,easy,manual,no,,,2,25,math::Advanced Math::easy::x² when x=5?::10|15|25|30::{}
181b965be3,math,Advanced Math,medium,manual,no,,,0,2 and 3,math::Advanced Math::medium::roots of x²−5x+6=0?::2 and 3|1 and 6|−2 and −3|0 and 5::{}
d93637e96c,math,Advanced Math,medium,manual,no,,,0,x+3,math::Advanced Math::medium::simplify (x²−9)/(x−3)::x+3|x−3|x+9|x²::{}
e29705909e,math,Advanced Math,medium,manual,yes,svg,coordinate_plane,0,x=1 and x=−3,math::Advanced Math::medium::what are the x-intercepts of the parabola?::x=1 and x=−3|x=−1 and x=3|x=0 and x=2|x=1 and x=3::{}
7f12074441,math,Advanced Math,hard,manual,no,,,0,"0,2,−2","math::Advanced Math::hard::g(x)=x³−4x. where does g(x)=0?::0,2,−2|0,4|1,−1|2,−2::{}"
5a2fe5b438,math,Advanced Math,hard,manual,no,,,2,4x²+12x+9,math::Advanced Math::hard::(2x+3)² equals?::4x²+9|4x²+6x+9|4x²+12x+9|2x²+12x+9::{}
cabf9a8685,math,Problem Solving,easy,manual,no,,,2,50 mph,math::Problem Solving::easy::150 miles in 3 hours. average speed?::40 mph|45 mph|50 mph|55 mph::{}
10b0b3bdb1,math,Problem Solving,easy,manual,no,,,2,$4.00,math::Problem Solving::easy::8 apples at $0.50 each?::$3.00|$3.50|$4.00|$4.50::{}
931e2b6cf0,math,Problem Solving,medium,manual,yes,table,,2,$95,math::Problem Solving::medium::maria buys 2 shirts and 1 pair of pants. total?::$70|$85|$95|$100::{}
f18f5a3c8d,math,Problem Solving,medium,manual,no,,,1,$64,math::Problem Solving::medium::20% off $80 item. sale price?::$60|$64|$68|$72::{}
73c2cfd399,math,Problem Solving,medium,manual,no,,,2,10 min,"math::Problem Solving::medium::tank fills at 5 gal/min, drains at 2. fill 30 gallons?::5 min|8 min|10 min|15 min::{}"
d3ff4fe6ef,math,Problem Solving,hard,manual,yes,chart,bar,2,Q3,math::Problem Solving::hard::in which quarter did production decrease?::q1|q2|q3|q4::{}
31a72526f6,math,Problem Solving,hard,manual,no,,,1,6,"math::Problem Solving::hard::x varies inversely with y. x=4,y=9. find x when y=6.::3|6|8|12::{}"
4aef1d3feb,math,Problem Solving,hard,manual,no,,,2,12h,math::Problem Solving::hard::a and b together finish in 4h. a alone=6h. b alone?::8h|10h|12h|14h::{}
8ebf354621,reading,Main Idea,easy,manual,no,,,1,mostly unknown,reading::Main Idea::easy::'ocean floor remains largely unexplored.' main idea?::well documented|mostly unknown|teeming with life|irrelevant::{}
1b8f177aab,reading,Main Idea,easy,manual,no,,,1,inform about benefits,reading::Main Idea::easy::paragraph describes recycling reducing landfill waste. purpose?::entertain|inform about benefits|argue against recycling|describe history::{}
4b1e071a4c,reading,Main Idea,medium,manual,no,,,1,analytical,reading::Main Idea::medium::author covers pros and cons of remote work. passage is primarily…::persuasive|analytical|narrative|descriptive::{}
fbbe89ef3d,reading,Main Idea,medium,manual,yes,table,,2,Older readers prefer print and read more,reading::Main Idea::medium::most supported conclusion from the survey?::older readers read fewer books|digital preferred by all|older readers prefer print and read more|teens read most::{}
fad1bd579a,reading,Main Idea,hard,manual,no,,,1,establish emotional connection then credibility,reading::Main Idea::hard::passage opens with anecdote then cites three studies. structure serves to…::entertain then educate|establish emotional connection then credibility|refute the opening|summarize research::{}
9aa9bd497b,reading,Vocabulary in Context,easy,manual,no,,,1,extremely careful,reading::Vocabulary in Context::easy::'meticulous notes enabled the breakthrough.' meticulous means:::careless|extremely careful|brief|creative::{}
38696760af,reading,Vocabulary in Context,easy,manual,no,,,1,honest,reading::Vocabulary in Context::easy::'she gave a candid answer.' candid means:::rehearsed|honest|lengthy|confusing::{}
52e077da32,reading,Vocabulary in Context,medium,manual,no,,,2,confusing,reading::Vocabulary in Context::medium::'rhetoric was deliberately obfuscating.' obfuscating means:::clarifying|persuasive|confusing|inspiring::{}
118180fb75,reading,Vocabulary in Context,medium,manual,no,,,2,harshly critical,reading::Vocabulary in Context::medium::'the review was scathing.' scathing means:::mild|praising|harshly critical|brief::{}
bd906f66f3,reading,Vocabulary in Context,hard,manual,no,,,1,excessively harsh,reading::Vocabulary in Context::hard::'the policy was draconian.' draconian means:::generous|excessively harsh|popular|poorly explained::{}
9dc7ae3ff2,reading,Vocabulary in Context,hard,manual,no,,,2,mental calmness,reading::Vocabulary in Context::hard::'her equanimity impressed everyone.' equanimity means:::panic|indifference|mental calmness|confusion::{}
8c13191143,reading,Evidence,easy,manual,no,,,1,"Survey of 5,000 teens","reading::Evidence::easy::best evidence 'most teens prefer streaming to cable'?::quote from one teen|survey of 5,000 teens|cable press release|parent anecdote::{}"
bf43912732,reading,Evidence,medium,manual,no,,,2,Randomized controlled trial,reading::Evidence::medium::strongest study design to prove exercise x reduces stress?::interview 5 people|observe one class|randomized controlled trial|reading articles::{}
d0b304d0de,reading,Evidence,medium,manual,yes,table,,2,"As screen time increases, GPA consistently decreases","reading::Evidence::medium::which data supports 'screen time harms academic performance'?::4+ hrs students sleep 6.5h|<1hr students have 3.7 gpa|as screen time increases, gpa consistently decreases|screen time affects sleep more than gpa::{}"
cb2a42537e,reading,Evidence,medium,manual,no,,,2,Non-users show no significant anxiety difference,reading::Evidence::medium::which weakens 'social media increases teen anxiety'?::more screen time correlates with anxiety|teens report stress|non-users show no significant anxiety difference|anxiety rose with social media::{}
e518a70d6d,reading,Evidence,hard,manual,no,,,2,objectivity/bias,reading::Evidence::hard::author argues drug is effective. critic notes it was funded by manufacturer. this questions the study's:::sample size|statistical methods|objectivity/bias|peer review::{}
57716355cd,reading,Grammar,easy,manual,no,,,1,Each of the students has a textbook.,reading::Grammar::easy::which is grammatically correct?::each of the students have a textbook.|each of the students has a textbook.|each students has.|each of student have.::{}
19b7635785,reading,Grammar,easy,manual,no,,,1,He and I went.,reading::Grammar::easy::correct sentence:::him and i went.|he and i went.|him and me went.|he and me went.::{}
f044934ae4,reading,Grammar,medium,manual,no,,,1,She studied hard; she passed.,reading::Grammar::medium::correct semicolon use?::i like cats; and dogs.|she studied hard; she passed.|he ran fast; but lost.|they won; the game.::{}
f22a8eed5b,reading,Grammar,medium,manual,no,,,0,is,reading::Grammar::medium::'the team ___ playing well.'::is|are|were|have been::{}
b364d90c8d,reading,Grammar,hard,manual,no,,,1,"Running, she got soaked by the rain.","reading::Grammar::hard::which avoids a dangling modifier?::running, the rain soaked her.|running, she got soaked by the rain.|having run, the rain was heavy.|to run, the rain started.::{}"
7522636ecd,reading,Grammar,hard,manual,no,,,0,The dogs' bone was buried.,reading::Grammar::hard::correct apostrophe:::the dogs' bone was buried.|the dog's' bone.|the dogs bone.|the dogs's bone.::{}
25b0dc4c46,reading,Rhetorical Skills,easy,manual,no,,,2,persuade readers to act,reading::Rhetorical Skills::easy::author ends essay urging readers to vote. primarily meant to:::entertain|inform|persuade readers to act|describe a process::{}
0134065464,reading,Rhetorical Skills,medium,manual,no,,,2,prompt reader to agree,reading::Rhetorical Skills::medium::'can we afford to ignore climate change?' purpose:::request info|admit uncertainty|prompt reader to agree|introduce counterargument::{}
4ac6a2efaf,reading,Rhetorical Skills,medium,manual,yes,chart,line,1,Policy A steadily gained support since 2018,reading::Rhetorical Skills::medium::which claim is best supported by this data?::support remained stable|policy a steadily gained support since 2018|policy a lost support after 2020|both equally popular::{}
007c069cb5,reading,Rhetorical Skills,medium,manual,no,,,1,a simile,"reading::Rhetorical Skills::medium::'like a ship without a compass, the company drifted.' this is:::alliteration|a simile|hyperbole|personification::{}"
a11fdd69c0,reading,Rhetorical Skills,hard,manual,no,,,1,concession and rebuttal,reading::Rhetorical Skills::hard::author refutes counterargument before thesis. this is called:::anaphora|concession and rebuttal|appeal to authority|circular reasoning::{}
92097dbb14,reading,Rhetorical Skills,hard,manual,no,,,1,anaphora — building emphasis,reading::Rhetorical Skills::hard::repeating a phrase at the start of consecutive sentences is:::creates ambiguity|anaphora — building emphasis|an ad hominem attack|weakens argument::{}